,Unnamed: 0,index,LOCATION,TIME,Japan_unemployment_rate,time_close,BTC_closing_price,yfit,xfit
237,,,,,,,,2.6394726265846975,9950.56243243243
238,,,,,,,,2.6416992096115433,9991.895705705705
239,,,,,,,,2.6439375896926522,10033.228978978977
240,,,,,,,,2.6461875544432947,10074.562252252252
241,,,,,,,,2.6484488922496237,10115.895525525524
242,,,,,,,,2.650721392268671,10157.228798798797
243,,,,,,,,2.653004844428349,10198.56207207207
244,,,,,,,,2.655299039427449,10239.895345345343
245,,,,,,,,2.657603768735644,10281.228618618617
246,,,,,,,,2.6599188245934835,10322.56189189189
247,,,,,,,,2.6622440000124015,10363.895165165164
248,,,,,,,,2.6645790887747087,10405.228438438437
249,,,,,,,,2.666923885433597,10446.56171171171
250,,,,,,,,2.6692781853131375,10487.894984984983
251,,,,,,,,2.6716417845082825,10529.228258258257
252,,,,,,,,2.674014479884863,10570.56153153153
253,,,,,,,,2.6763960690795914,10611.894804804804
254,,,,,,,,2.6787863505000575,10653.228078078077
255,,,,,,,,2.6811851233247346,10694.56135135135
256,,,,,,,,2.6835921875029722,10735.894624624623
257,,,,,,,,2.686007343755004,10777.227897897896
258,,,,,,,,2.688430393571939,10818.56117117117
259,,,,,,,,2.6908611392157695,10859.894444444442
260,,,,,,,,2.6932993837193666,10901.227717717717
261,,,,,,,,2.6957449308864816,10942.560990990989
262,,,,,,,,2.698197585291746,10983.894264264263
263,,,,,,,,2.7006571522806695,11025.227537537536
264,,,,,,,,2.703123437969645,11066.56081081081
265,,,,,,,,2.705596249245941,11107.894084084082
266,,,,,,,,2.708075393767712,11149.227357357357
267,,,,,,,,2.7105606799639848,11190.560630630629
268,,,,,,,,2.713051917034674,11231.893903903903
269,,,,,,,,2.7155489149505674,11273.227177177176
270,,,,,,,,2.718051484453338,11314.56045045045
271,,,,,,,,2.720559437055536,11355.893723723722
272,,,,,,,,2.7230725850405912,11397.226996996995
273,,,,,,,,2.725590741462815,11438.560270270269
274,,,,,,,,2.728113720147398,11479.893543543541
275,,,,,,,,2.730641335690411,11521.226816816816
276,,,,,,,,2.7331734034588036,11562.560090090088
277,,,,,,,,2.7357097395904075,11603.893363363362
278,,,,,,,,2.738250160993932,11645.226636636635
279,,,,,,,,2.7407944853489683,11686.559909909909
280,,,,,,,,2.7433425311059865,11727.893183183181
281,,,,,,,,2.7458941174863374,11769.226456456456
282,,,,,,,,2.7484490644822506,11810.559729729728
283,,,,,,,,2.7510071928568376,11851.893003003002
284,,,,,,,,2.753568324144085,11893.226276276275
285,,,,,,,,2.7561322806488677,11934.559549549547
286,,,,,,,,2.7586988854469334,11975.892822822821
287,,,,,,,,2.761267962384913,12017.226096096094
288,,,,,,,,2.763839336080314,12058.559369369368
289,,,,,,,,2.7664128319215298,12099.89264264264
290,,,,,,,,2.7689882760678293,12141.225915915915
291,,,,,,,,2.771565495449361,12182.559189189187
292,,,,,,,,2.7741443177671568,12223.892462462461
293,,,,,,,,2.776724571493124,12265.225735735734
294,,,,,,,,2.7793060858700556,12306.559009009008
295,,,,,,,,2.781888690911618,12347.89228228228
296,,,,,,,,2.784472217402364,12389.225555555555
297,,,,,,,,2.7870564968977214,12430.558828828827
298,,,,,,,,2.7896413617240006,12471.892102102101
299,,,,,,,,2.79222664497839,12513.225375375374
300,,,,,,,,2.79481218052896,12554.558648648646
301,,,,,,,,2.7973978030146607,12595.89192192192
302,,,,,,,,2.79998334784532,12637.225195195193
303,,,,,,,,2.8025686512016477,12678.558468468467
304,,,,,,,,2.805153550035235,12719.89174174174
